bbrp	beberapa
miras	minuman keras
mksd	maksud
mlah	malah
mls	malas
mngkn	mungkin
mnt	minta
mo	mau
moge	motor gede
mokad	mati
mokat	mati
moso	masa
mosok	masa
mpe	sampai
msh	masih
msk	masuk
mskpn	meskipun
mslh	masalah
msng2	masing-masing
mt	makan teman
muahal	mahal
mubes	musyawarah besar
muker	musyawarah kerja
mulu	melulu
mumet	pusing
mumpung	selagi
muna	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
muntaber	muntah dan berak
musda	musyawarah daerah
musti	mesti
muup	maaf
muupz	maaf
muuv	maaf
mw	mau
mw	now watching
n	dan
nal	kenal
nanam	menanam
nangis	menangis
nanya	bertanya
naon	apa
napa	kenapa
napa	kenapa
napi	narapidana
napol	narapidana politik
napza	narkotika, alkohol, psikotropika, dan zat adiktif 
naq	anak
narkoba	narkotika, psikotropika, dan obat terlarang
narsis	bangga pada diri sendiri
nasgor	nasi goreng
nax	anak
nda	tidak
ndak	tidak
ndiri	sendiri
ndut	gendut
ne	ini
nekolim	neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menyatakan cinta
ngabis2in	menghabiskan
ngabuburit	menunggu berbuka puasa
ngakak	tertawa
ngaku	mengaku
ngambek	marah
ngambil	mengambil
ngampus	pergi ke kampus
nganggur	tidak punya pekerjaan
ngantri	mengantri
ngapah	kenapa
ngapain	sedang apa
ngaret	terlambat
ngaruh	berpengaruh
ngasih	memberikan
ngawur	berbicara sembarangan
ngebandel	berbuat bandel
ngeceng	kumpul bareng-bareng
ngegosip	bergosip
ngeh	sadar
ngeklaim	mengklaim
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngelamar	melamar
ngeles	berkilah
ngeliat	melihat
ngelidur	menggigau
ngemeng	bicara terus-terusan
ngerampok	merampok
ngerti	mengerti
ngga	tidak
nggak	tidak
ngibul	berbohong
ngikut	ikut
ngiler	mau
nginep	menginap
ngiri	iri
ngisi	mengisi
ngisiin	mengisikan
ngmg	bicara
ngmng	bicara
ngocol	lucu
ngomong	bicara
ngomongin	membicarakan
ngubek2	mencari-cari
ngumpul	berkumpul
ngurus	mengurus
ni	ini
nice	bagus
nie	ini
niech	nih
nih	ini
nimbrung	ikut serta
niyh	nih
nkah	nikah
nmr	nomor
nnti	nanti
nntn	nonton
no	nomor
nobar	nonton bareng
nongkrong	kumpul-kumpul
np	now playing
nrp	narapidana
ntar	nanti
ntar	sebentar
ntn	nonton
nuhun	terima kasih
numpuk	bertumpuk
nunggu	menunggu
nutupin	menutupi
nyampah	membuat sampah
nyasar	tersesat
nyari	mencari
nyariin	mencari
nyekar	menyekar
nyiapin	mempersiapkan
nyicil	mencicil
nyiram	menyiram
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
o/	oleh
ogah	tidak mau
ok	ok
okt	oktober
ol	online
omdo	omong doang
ongkir	ongkos kirim
oon	bodoh
oot	out of topic
org	orang
org2	orang-orang
orkes	olahraga dan kesehatan
ortu	orang tua
ospek	orientasi studi dan pengenalan kampus
otda	otonomi daerah
otre	ok
otw	on the way, sedang di jalan
pa	apa
pacal	pacar
pahe	paket hemat
pake	pakai
pakek	pakai
pala	kepala
panja	panitia kerja
pansus	panitia khusus
pantura	pantai utara
parpol	partai politik
pas2an	pas-pasan
pasutri	pasangan suami istri
patas	cepat dan terbatas
pd	pada
pdhl	padahal
pede	percaya diri
pelatda	pemusatan latihan daerah
pelatnas	pemusatan latihan nasional
pembokat	pembantu
pemda	pemerintah daerah
pemilu	pemilihan umum
pemkot	pemerintah kota
pemprov	pemerintah provinsi
pemred	pemimpin redaksi
pengen	ingin
penjas	pendidikan jasmani
penmas	pendidikan masyarakat
perda	peraturan daerah
perek	wanita tuna susila
perhatiin	perhatikan
pertamax	pertama
pesenan	pesanan
pesenin	pesankan
pgang	pegang
pgi	pergi
pi	tapi
pijetin	pijitkan
pilkada	pemilihan kepala daerah
pimpro	pemimpin proyek
pisan	sangat
pisgor	pisang goreng
pk	penjahat kelamin
pke	pakai
plg	paling
pm	private message
pmrnth	pemerintah
pny	punya
polantas	polisi lalu lintas
polwan	polisi wanita
ponpes	pondok pesantren
ponsel	telepon seluler
pp	pulang pergi
ppa	apa
prg	pergi
prikitiw	cie
priksa	periksa
prnh	pernah
pro	profesional
psen	pesan
psn	pesan
pst	pasti
psti	pasti
pswt	pesawat
puanas	panas
pw	posisi nyaman
qmo	anda
qmu	anda
qt	kita
rakor	rapat koordinasi
rame	ramai
ranmor	kendaraan bermotor
raskin	rakyat miskin
re	reply
red	redaksi
ref	referensi
reg	register
rehab	rehabilitasi
rejeki	rezeki
rempong	sulit
renstra	rencana strategis
repp	balas
reskrim	reserse kriminal
krim	kirim
restik	reserse narkotika
rhs	Rahasia
rhs	rahasia
rmbt	rambut
rmh	rumah
rofl	rolling on the floor laughing
ru	baru
rudal	peluru kendali
ruko	rumah toko
rusun	rumah susun
rusunawa	rumah susun sewa
rutan	rumah tahanan
ruz	terus
s4	sempat
saia	saya
saiank	sayang
salting	salah tingkah
saltum	salah kostum
sampe	sampai
sampeyan	anda
samsek	sama sekali
sapa	siapa
sapose	siapa
satkorlak	satuan koordinator pelaksana
satpam	satuan pengamanan
say	sayang
sbb	sebagai berikut
sbg	sebagai
sbh	sebuah
sblm	sebelum
sbnrny	sebenarnya
scara	secara
scr	secara
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkt	sedikit
sdngkn	sedangkan
se7	setuju
seabrek	banyak
sebelas dua belas	mirip
sekjen	sekretaris jenderal
sembako	sembilan bahan pokok
sempak	celana dalam
sempet	sempat
sempet2nya	sempat-sempatnya
sendratari	seni drama tari
sertijab	serah terima jabatan
sgt	sangat
sgtunya	segitunya
shg	sehingga
sidak	inspeksi mendadak
siech	sih
sieyh	sih
sikon	situasi dan kondisi
simpedes	simpanan pedesaan
sinetron	sinema elektronik
sip	ok
siramin	siramkan
sis	kakak perempuan
sj	saja
skali	sekali
skalian	sekalian
skl	sekali
sklh	sekolah
skrg	sekarang
skt	sakit
skul	sekolah
slesai	selesai
slh	salah
sll	selalu
slm	salam
slma	selama
slmt	selamat
slsai	selesai
slt	sulit
smpt	sempat
smua	semua
smw	semua
smwny	semuanya
sndiri	sendiri
sng	senang
sni	sini
soljum	sholat jumat
somse	sombong sekali
songong	sombong
sorry	maaf
sory	maaf
sosbud	sosial-budaya
sosek	sosial-ekonomi
sospol	sosial-politik
sotoy	sok tahu
sowry	maaf
spa	siapa
spd	sepeda
sppa	siapa
sprti	seperti
spt	seperti
spy	supaya
srtfkt	sertifikat
stelah	setelah
stiap	setiap
stiap	setiap
stlh	setelah
subbag	subbagian
suk	masuk
sumbangin	sumbangkan
sumpek	sempit
sy	saya
syg	sayang
syp	siapa
t4	tempat
tabanas	tabungan pembangunan nasional
tajir	kaya
tar	nanti
tau	tahu
taun	tahun
taw	tahu
tawh	tahu
td	tadi
tdi	tadi
tdk	tidak
te2p	tetap
teh	kakak perempuan
tekor	rugi
telat	terlambat
telkom	telekomunikasi
telmi	telat berpikir
telp	telepon
temen	teman
temen2	teman-teman
tengil	menyebalkan
tengok	menjenguk
tepar	terkapar
terbitin	terbitkan
tggu	tunggu
tgl	tanggal
tgu	tunggu
thanks	terima kasih
thankz	terima kasih
thd	terhadap
thn	tahun
thx	terima kasih
tilang	bukti pelanggaran
tipi	TV
tipiwan	TvOne
tkg	tukang
tks	terima kasih
tll	terlalu
tlp	telepon
tlpn	telepon
tls	tulis
tman	teman
tmbah	tambah
tmbh	tambah
tmen2	teman-teman
tmn2	teman-teman
tmpah	tumpah
tmph	tumpah
tmpt	tempat
tnda	tanda
tngu	tunggu
tnh	tanah
tnyta	ternyata
togel	toto gelap
tokai	tai
tokai	tai
toserba	toko serba ada
tp	tapi
tpi	tapi
tq	terima kasih
trdhulu	terdahulu
trgntg	tergantung
trima	terima kasih
trims	terima kasih
trimz	terima kasih
trm	terima
trnyt	ternyata
trs	terus
trus	terus
trutama	terutama
trz	terus
ts	penulis
tsb	tersebut
tst	tahu sama tahu
ttd	tertanda
ttg	tentang
ttp	tetap
tuch	tuh
tuh	itu
tuir	tua
tuwh	tuh
tw	tahu
tyap	tiap
u	anda
u/	untuk
ud	sudah
uda	sudah
udah	sudah
udh	sudah
ujg	ujung
ujung2nya	ujung-ujungnya
ul	ulangan
ultah	ulang tahun
unyu	lucu
unyu	menggemaskan
uplot	unggah
uppu	apa
urang	saya
urg	saya
usah	perlu
utang	hutang
utk	untuk
utul	ujian tertulis
valas	valuta asing
vol	volume
w/	dengan
wad	buat
wadir	wakil direktur
wagub	wakil gubernur
wamil	wajib militer
waria	wanita pria
warkop	warung kopi
warnet	warung internet
warteg	warung tegal
wartel	warung telekomunikasi
wat	buat
wk	tertawa
wkt	waktu
wkwk	tertawa
wtf	what the fuck
wth	what the hell
xixixi	tertawa
y	kenapa
ya	iya
yad	yang akan datang
yap	iya
yapz	iya
yaudah	ya sudah
yauwda	ya sudah
yawdah	ya sudah
ybs	yang bersangkutan
yg	yang
yi	yaitu
yl	yang lain
yng	yang
yo	iya
yoha	iya
yowes	ya sudah
yuk	ayo
yup	iya
ywdh	ya sudah
cb	coba
plh	pilih
y	ya
slalu	selalu
munfik	munafik
ahiok	ahok
reklamuk	reklamasi
victory	menang
sma	sama
kmrm	kemeramen
kmrn	kemarin
kowe	anda
tren	trend
smg	semoga
ngehe	kesal
humoris	lucu
jadiin	jadi
mb	mbak
mz	mas
komun	komunitas
analisise	analisis
stop	henti
sadaar	sadar
manen	panen
sept	september
nyaingin	saing
nmenarik	menarik
war	perang
pake	pakai
janjinyaa	janji
zonk	bodoh
fitnag	fitnah
rights	benar
gub	gubernur
simiskin	miskin
gantengbs	ganteng
ngumpet	sembunyi
bedakin	bedak
hardcore	keras
anjay	anjing
akhirx	akhirnya
prototype	contoh
solve	solusi
rja	raja
watuk	batuk
nyang	yang
ngebully	intimidasi
hurts	pedih
masy	masyarakat
utip	kutip
still	masih
mndukung	mendukung
tauk	tahu
pulgar	kasar
mbual	membual
manggil	panggil
tioghoa	tionghoa
rkyt	rakyat
ngentotin	senggama
ngentot	senggama
kentot	senggama
toys	main
faktakta	fakta
nyemot	ambil
sohib	teman
ego	emosi
rubahnn	rubah
mbaur	baur
trlalu	terlalu
governor	gubernur
nyela	cela
heter	pembenci
heters	pembenci
insom	insomnia
nyembah	sembah
slama	selama
most	paling
modar	mati
ikon	lambang
buangbuang	buang
light	terang
amerik	amarika
pndukung	pendukung
mbabibuta	ceroboh
setting	atur
emank	memang
seting	akting
maybe	mungkin
next	lanjut
sebelom	sebelum
waspadalah	waspada
our	kami
bokep	porno
cayalah	percaya
gantengsaya	ganteng
bajir	banjir
parte	partai
nyalahin	salah
nyerang	serang
dzolim	zalim
nipu	tipu
mnipu	tipu
ktipu	tipu
valid	sah
jentelmen	berani
buzzerbuzzer	buzzer
buangbuang	buang
tsk	tersangka
tsangka	tersangka
dungu	bodoh
lemot	lambat
capek	lelah
kurng	kurang
bajir	banjir
ista	nista
istaa	nista
less	kurang
bebal	bodoh
koar	teriak
muna	munafik
lelet	lambat
naas	nahas
paranoid	takut
parno	takut
problem	masalah
puyeng	pusing
songong	sombong
taik	kotoran
tahi	kotoran
tai	kotoran
tirani	tiran
pls	tolong
tilep	tilap
accord	sesuai
happy	bahagia
irit	hemat
tak	tidak
semau	asal
mbual	bual
mantabss	bagus	
penertiban	tertib
orange	oranye
uasai	kuasa
vote	pilih
mnolak	tolak
menolak	tolak
trending	trend
presh	segar
taik	tahi
serasiii	serasi
wkwkkw	tertawa
soft	halus
setting	atur
angis	nangis
ahokncc	ahok
almaidahyg	almaidah
istaa	nista
benarjujur	benar
benarjujur	jujur
sayan	sayang
mgkin	mungkin
rp	rupiah
wq	tertawa
wqwq	tertawa
wkwk	tertawa
wkwkwkwk	tertawa
lol	tertawa
lmao	tertawa
jastip	jasa titip
testii	testimoni
testi	testimoni
gw	saya
ak	saya
kek	seperti
amann	aman
gmn	bagaimana
thank	terima kasih
gboleh	tidak boleh
gaboleh	tidak boleh
gbisa	tidak bisa
gbsa	tidak bisa
inget	ingat
seneng	senang
moga	semoga
smoga	semoga
mula	semula
cuma	hanya
cma	hanya
abis	habis
aargh	teriak
aah	teriak
abangkuh	abang
abiez	habis
abisin	habiskan
abisn	habiskan
abisni	habiskan
abissz	habiskan
abistu	setelah itu
abt	tentang
about	tentang
above	diatas
adaa	ada
adain	adakan
adeek	adek
adekku	adek saya
adeknya	ade
adem	sejuk
adu	aduh
aduhh	aduh
acau	kacau
acik	asyik
acin	asin
acu	saya
acuh	saya
adoo	aduh
adl	adalah
adik	adek
ae	saja
aegh	teriak
aer	air
afdhol	cocok
afe	apa
aff	apa
afhh	apa
ag	sedikit
aga	sedikit
agak	sedikit
agam	agama
agar	supaya
aghh	teriak
agih	lagi
ah	mengeluh
ahh	teriak
ahah	tertawa
ahahah	tertawa
ahahaha	tertawa
ahahahaha	tertawa
ahahahahahaha	tertawa
ahahahahh	tertawa
ahahahs	tertawa
ahahshshhaha	tertawa
ahhahaha	tertawa
ahirna	akhirnya
ahirnya	akhirnya
aidilfitri	idul fitri
aingmah	menyesal
aircond	ac
airlinenya	maskapai
aipda	ajun inspektur polisi dua
aiptu	ajun inspektur polisi satu
ais	es
aishkrim	es krim
ajaa	saja
ajah	saja
ajahh	saja
aje	saja
ajee	aja
ajegile	saja
ajeh	saja
ajg	anjing
ajh	saja
ajhahahahahahhahahha	tertawa
ajibb	mantap
ajo	saja
akak	tertawa
akakakkaka	tertawa
akang	kakak
akaun	akun
akbp	ajun komisaris besar polisi
akdkdksjsahs	tertawa
akeh	banyak
akh	menyesal
akhh	akhir
akhirny	akhir
akhirnyaa	akhir
akhrnya	akhir
akk	saya
akkh	teriak
akoh	saya
akn	akan
akoeehh	saya
akoo	saya
akp	ajun komisaris polisi
akubbuat	saya membuat
akuemot	saya emot
akuh	saya
akusayangkmbanget	saya sangat sayang anda
akutu	saya
akutuh	saya
akuu	saya
akwokaowkaoak	tertawa
alakadarnya	alakadar
alesan	alasan
alesannya	alasan
alhamdulilah	bersyukur
alhamdulillaah	bersyukur
alhamdulillah	bersyukur
alhamdullilah	bersyukur
alhamdullillah	bersyukur
alhamdulullah	bersyukur
aliass	alias
aliazz	alias
alihkn	alih
alloh	allah
alm	almarhum
almrhm	almarhum
alus	halus
aluss	halus
ane	saya
anehh	aneh
anj	anjing
anja	mantap
anjayy	mantap
anjeng	anjing
anjengg	anjing
anjer	anjing
anjg	anjing
anjgg	anjing
anjier	anjing
anjiir	anjing
anjim	anjing
anjing	anjing
anjingh	anjing
anjingsjwkwnwjw	anjing
anjir	anjing
anjiremot	anjing
anjirr	anjing
anjj	anjing
anjjeng	anjing
anjjg	anjing
anjr	anjing
anjritt	anjing
anjrot	anjing
anjrt	anjing
anjuay	anjing
anjubg	anjing
anjung	anjing
anjur	anjing
anjwink	anjing
anjwmehghrbdkwowhxhrunehd	anjing
atauga	atau tidak
gaa	tidak
gabakal	tidak akan
gabawa	tidak membawa
gabegitu	tidak begitu
gaboeleh	tidak boleh
gabole	tidak boleh
gabolehh	tidak boleh
gabuangan	tidak buangan
gabutnya	bosan
gabut	bosan
gacocok	tidak sesuai
gacor	lancer
gacukup	tidak cukup
gacuman	tidak hanya
gada	tidak ada
gadak	tidak ada
gadapet	tidak mendapat
gadgetnya	gadgetnya
gadibolehin	tidak boleh
gadikasi	tidak dikasih
gadiminta	tidak diminta
gadipanggil	tidak dipanggil
gadoin	campurkan
gadoyan	tidak suka
gaenak	tidak enak
gaena	tidak enak
gaes	kawan
gaesku	kawan
gaess	kawan
gaesz	kawan
gagaal	gagal
gahabis	tidak habis
gais	kawan
gaiso	tidak bisa
gaisok	tidak suka
gaiss	kawan
gajadi	tidak jadi
gajebo	gazebo
gajelas	tidak jelas
gajels	tidak jelas
gajetot	tidak jelas
gakan	tidak akan
gakbisa	tidak bisa
gakepengen	tidak ingin
gakira	tidak mengira
gakk	tidak
gakkan	tidak
gakmau	tidak mau
